ax,ay,az,label
-0.448608,-0.027222,0.870483,0
-0.449707,-0.029785,0.871460,0
-0.449341,-0.031982,0.864502,0
-0.453003,-0.034424,0.864502,0
-0.453125,-0.032959,0.864868,0
-0.450684,-0.028564,0.865479,0
-0.446167,-0.027588,0.868652,0
-0.444946,-0.028198,0.871216,0
-0.448853,-0.030518,0.869995,0
-0.450195,-0.032837,0.865723,0
-0.450562,-0.033081,0.864258,0
-0.450195,-0.032349,0.864990,0
-0.447632,-0.029297,0.866699,0
-0.448853,-0.028931,0.869995,0
-0.449463,-0.030762,0.869995,0
-0.449951,-0.031616,0.868042,0
-0.449951,-0.031616,0.863770,0
-0.450195,-0.031372,0.864258,0
-0.450562,-0.031372,0.866577,0
-0.447754,-0.030273,0.868286,0
-0.448608,-0.030762,0.868286,0
-0.449219,-0.030396,0.868530,0
-0.449707,-0.030884,0.865845,0
-0.450928,-0.030884,0.865479,0
-0.449585,-0.031616,0.866333,0
-0.448486,-0.031616,0.867798,0
-0.448120,-0.030518,0.868286,0
-0.448853,-0.029053,0.868774,0
-0.448242,-0.029907,0.869385,0
-0.448853,-0.062012,0.865112,0
-0.450439,-0.031250,0.865112,0
-0.450684,-0.030518,0.867432,0
-0.449829,-0.030884,0.868652,0
-0.449341,-0.030273,0.869141,0
-0.447510,-0.029907,0.868042,0
-0.448120,-0.030884,0.864624,0
-0.451904,-0.031494,0.865845,0
-0.452148,-0.032349,0.868408,0
-0.450195,-0.032349,0.866699,0
-0.448975,-0.031372,0.866943,0
-0.449219,-0.030029,0.867920,0
-0.449829,-0.031128,0.867554,0
-0.450073,-0.031860,0.865356,0
-0.448486,-0.030273,0.866699,0
-0.448486,-0.030640,0.868286,0
-0.449219,-0.031738,0.868408,0
-0.450439,-0.031616,0.865967,0
-0.449951,-0.032715,0.864136,0
-0.450317,-0.032837,0.864502,0
-0.449829,-0.031006,0.866089,0
-0.448120,-0.029785,0.868164,0
-0.448486,-0.029907,0.867432,0
-0.449585,-0.030273,0.867920,0
-0.450073,-0.030884,0.866577,0
-0.450562,-0.031006,0.865723,0
-0.451538,-0.032227,0.866699,0
-0.449463,-0.000732,0.869507,0
-0.447388,-0.030762,0.868164,0
-0.447388,-0.029541,0.867920,0
-0.448120,-0.029907,0.868286,0
-0.448730,-0.029541,0.869141,0
-0.449341,-0.029785,0.868896,0
-0.448486,-0.030884,0.867798,0
-0.449463,-0.032349,0.865845,0
-0.450806,-0.032471,0.864136,0
-0.451538,-0.032227,0.864380,0
-0.451050,-0.032104,0.865967,0
-0.449341,-0.030273,0.867554,0
-0.447876,-0.029297,0.867187,0
-0.449097,-0.030396,0.868042,0
-0.450317,-0.031616,0.866821,0
-0.449829,-0.032227,0.866699,0
-0.450317,-0.030640,0.866089,0
-0.449219,-0.030518,0.866089,0
-0.449951,-0.031860,0.867676,0
-0.450317,-0.030884,0.868408,0
-0.450195,-0.031982,0.866455,0
-0.450317,-0.032349,0.866333,0
-0.450317,-0.031128,0.867554,0
-0.449341,-0.030396,0.867432,0
-0.449219,-0.031494,0.866699,0
-0.449829,-0.031982,0.866699,0
-0.449585,-0.031250,0.867065,0
-0.449341,-0.030151,0.868164,0
-0.448364,-0.031006,0.866943,0
-0.449707,-0.030518,0.867310,0
-0.450317,-0.031128,0.867065,0
